run,aggregate_file,disposition,actions,common_prefix,valid_capture,drops,runtime,package_sha256,transaction_count,transaction_p50_ms,transaction_p90_ms,transaction_p95_ms,transaction_p98_ms,transaction_p99_ms,owner_intervals,owner_p95_ms,cpu_seconds
baseline-r2,results-r2.json,historical_comparison,36,36,True,0,10.0.12,20112018E8107246EC4659A6868BC66828B1F24F5AF1B98E5A2C54435E66460E,36,2.387,18.608,20.698,26.137,26.137,509,13.4817,7.015625
baseline-r3,results-selective-final-r1.json,historical_comparison,36,36,True,0,10.0.12,20112018E8107246EC4659A6868BC66828B1F24F5AF1B98E5A2C54435E66460E,36,2.202,4.524,18.849,19.43,19.43,512,13.3583,6.890625
candidate-r2,results-r2.json,historical_comparison,36,36,True,0,10.0.12,5C1134D7329F13B9F044CAB93286FA47C2B105EC8633FC6E92737A811ED75E2F,36,53.903,69.819,86.181,88.621,88.621,499,13.4674,12.078125
candidate-r3,results-selective-final-r1.json,historical_comparison,36,36,True,0,10.0.12,5C1134D7329F13B9F044CAB93286FA47C2B105EC8633FC6E92737A811ED75E2F,36,52.362,68.213,70.212,95.727,95.727,501,13.3711,12.109375
handoff-base-r1,handoff-performance-r1.json,corrected_product_baseline,36,36,True,0,10.0.12,D5B7F19300D44A7340CD5F1D6777F1A7F7DCC5BC0B6BF9FF67AA482ADD10A687,36,3.372,43.807,53.357,63.996,63.996,516,13.3942,8.015625
handoff-base-r2,handoff-performance-r1.json,corrected_product_baseline,36,36,True,0,10.0.12,D5B7F19300D44A7340CD5F1D6777F1A7F7DCC5BC0B6BF9FF67AA482ADD10A687,36,2.83,41.437,49.905,57.444,57.444,506,13.3631,8.25
handoff-base-r3,handoff-performance-wait-r1.json,corrected_product_baseline,36,36,True,0,10.0.12,D5B7F19300D44A7340CD5F1D6777F1A7F7DCC5BC0B6BF9FF67AA482ADD10A687,36,2.779,44.627,54.04,56.709,56.709,487,13.4341,7.515625
handoff-dormant-r1,handoff-performance-r1.json,isolated_not_adopted,36,36,True,0,10.0.12,C90923F8852CE1F584150E3FED7A6696710FE29CCAFB2E0BFA5F8D22DE05FCDC,36,2.834,49.321,59.49,77.424,77.424,489,14.2531,8.140625
handoff-dormant-r2,handoff-performance-r1.json,isolated_not_adopted,36,36,True,0,10.0.12,C90923F8852CE1F584150E3FED7A6696710FE29CCAFB2E0BFA5F8D22DE05FCDC,36,2.926,51.767,55.906,58.036,58.036,517,13.8438,8.484375
handoff-union-wait-r1,handoff-performance-wait-r1.json,isolated_not_adopted,36,36,True,0,10.0.12,4BD370828ADA79846BD56D772EB4B34F0AA4F2E95041858818E1D29D495EBBA6,36,2.71,61.323,64.145,70.994,70.994,482,13.4875,7.953125
paint-baseline-r1,results-paint-cycle-r1.json,historical_comparison,36,36,True,0,10.0.12,20112018E8107246EC4659A6868BC66828B1F24F5AF1B98E5A2C54435E66460E,36,2.18,5.369,20.556,22.43,22.43,473,14.2061,7.078125
paint-cycle-r1,results-paint-cycle-r1.json,historical_comparison,36,36,True,0,10.0.12,E61D206DEC79F7AD221716F2A9F78D1B9AA9FFD23C49EA432D61BF9B4C609527,36,2.804,49.427,52.269,65.793,65.793,508,13.6004,7.671875
region-only-r2,results-r2.json,historical_comparison,36,36,True,0,10.0.12,DCC7DF8C8FE3AC214F17D2192BC71299FD02B87CB981A8361D3E45C858D1FA18,36,2.521,5.306,12.985,84.807,84.807,512,13.5349,10.890625
selective-v3-r1,results-paint-cycle-r1.json,historical_comparison,36,36,True,0,10.0.12,9ECEBEBF129EBC7F770EC691886DD5919E526730C46A23D41C04830C7102B3ED,36,3.005,58.514,70.056,85.951,85.951,494,14.6678,11.6875
settled-baseline-r1,results-selective-settled-r1.json,historical_comparison,36,36,True,0,10.0.12,20112018E8107246EC4659A6868BC66828B1F24F5AF1B98E5A2C54435E66460E,36,2.229,3.697,17.28,24.096,24.096,521,13.5152,7.234375
settled-candidate-r1,results-selective-settled-r1.json,historical_comparison,36,36,True,0,10.0.12,5C1134D7329F13B9F044CAB93286FA47C2B105EC8633FC6E92737A811ED75E2F,36,55.638,69.382,72.868,87.91,87.91,497,14.1496,11.40625
settled-selective-v3-r1,results-selective-settled-r1.json,historical_comparison,36,36,True,0,10.0.12,9ECEBEBF129EBC7F770EC691886DD5919E526730C46A23D41C04830C7102B3ED,36,2.956,52.321,58.025,94.919,94.919,502,14.169,12.28125
