cohort,round,order,RenderingCallbacks,TotalWallMilliseconds,CpuMilliseconds,WorkingSetBytes,CallbackP50Milliseconds,CallbackP90Milliseconds,CallbackP95Milliseconds,CallbackP99Milliseconds,CallbackMaxMilliseconds,ApplyP50Milliseconds,ApplyP90Milliseconds,ApplyP95Milliseconds,ApplyP99Milliseconds,ApplyMaxMilliseconds,CallbackOver20Milliseconds,CallbackOver33Milliseconds
original,1,"default, software",-2,-0.0707,46.875,-27840512,-0.0187,0.4450,4.0618,6.2692,13.8672,-0.0811,-0.0570,-0.0660,-0.3861,-0.8851,0,1
original,2,"software, default",8,-33.4161,-609.375,-20135936,-0.0515,-12.4775,1.4166,1.2897,-29.2123,-0.2350,-0.0869,-0.1230,-2.0244,-4.4976,-10,0
original,3,"default, software",-2,-16.4974,-125.0,-26456064,-0.0648,-8.2454,2.9409,5.1451,30.8224,-0.2745,-0.1334,-0.0697,-0.1053,-1.5283,-4,2
original,4,"software, default",2,-16.7009,-406.25,-27369472,0.0013,-7.3061,3.4486,0.7709,2.8762,-0.3262,-0.1662,-0.3649,-0.7105,4.2847,0,2
original,5,"default, software",10,-0.3433,-437.5,-22294528,-0.0895,-13.8414,-0.4921,1.8972,0.2935,-0.0179,0.0440,0.0545,0.0821,-0.0823,-13,-2
original,6,"software, default",15,0.4842,-609.375,-21528576,-0.0962,-13.5886,0.8463,-0.2383,-0.6545,-0.1926,0.0467,0.1223,0.0984,-0.0564,-17,-1
visible-clear,1,"default, software",8,-0.0797,46.875,-23003136,-0.0897,-9.2329,1.0167,1.7992,12.5561,-0.0049,-0.0048,-0.0170,0.0183,0.0596,-9,1
visible-clear,2,"software, default",9,-16.3181,-703.125,-18219008,-0.0585,-13.7560,-3.1306,1.8678,6.3389,-0.0020,-0.0029,-0.0020,0.0443,0.0089,-11,-4
visible-clear,3,"default, software",8,-17.4100,-234.375,-19394560,0.0044,-11.7075,1.6828,1.4271,-0.7225,-0.0082,-0.0087,-0.0029,0.0099,-0.0021,-13,0
visible-clear,4,"software, default",4,-0.4467,-640.625,-25182208,0.0021,-1.1314,7.8801,6.9381,11.9330,-0.0006,-0.0107,-0.0064,-0.0178,-0.0091,-4,-2
visible-clear,5,"default, software",0,0.1501,-406.25,-21233664,-0.0459,-10.3487,6.0587,10.7228,12.7466,0.0111,0.0060,0.0052,-0.0191,0.7012,-4,-1
visible-clear,6,"software, default",6,0.4153,-359.375,-23601152,-0.0653,-10.8661,0.7215,3.9949,3.7871,0.0023,-0.0124,-0.0060,-0.1302,0.0024,-7,-1
