cohort,round,order,mode,RequestedRenderMode,RenderingTier,HostCount,TransitionCount,RenderingCallbacks,TotalWallMilliseconds,CpuMilliseconds,WorkingSetBytes,CallbackP50Milliseconds,CallbackP90Milliseconds,CallbackP95Milliseconds,CallbackP99Milliseconds,CallbackMaxMilliseconds,ApplyP50Milliseconds,ApplyP90Milliseconds,ApplyP95Milliseconds,ApplyP99Milliseconds,ApplyMaxMilliseconds,CallbackOver20Milliseconds,CallbackOver33Milliseconds
original,1,"default, software",default,0,2,10,24,222,4003.85,3953.125,168722432,16.6887,18.5489,32.8154,41.2248,45.0289,3.9571,4.7598,4.9463,5.5284,6.4152,21,11
original,1,"default, software",software,1,2,10,24,220,4003.7793,4000,140881920,16.67,18.9939,36.8772,47.494,58.8961,3.876,4.7028,4.8803,5.1423,5.5301,21,12
original,2,"software, default",default,0,2,10,24,213,4037.3933,4593.75,161046528,16.7135,30.829,33.5083,46.0414,77.9719,4.1837,4.917,5.2288,7.4271,11.1868,30,12
original,2,"software, default",software,1,2,10,24,221,4003.9772,3984.375,140910592,16.662,18.3515,34.9249,47.3311,48.7596,3.9487,4.8301,5.1058,5.4027,6.6892,20,12
original,3,"default, software",default,0,2,10,24,220,4020.4559,4312.5,167333888,16.7364,25.6181,33.362,41.7494,45.4646,4.1579,4.8312,4.9622,5.3833,6.9856,24,12
original,3,"default, software",software,1,2,10,24,218,4003.9585,4187.5,140877824,16.6716,17.3727,36.3029,46.8945,76.287,3.8834,4.6978,4.8925,5.278,5.4573,20,14
original,4,"software, default",default,0,2,10,24,219,4003.9542,4187.5,169668608,16.6747,25.2888,33.1472,44.0973,46.6694,4.1047,4.8735,5.1959,6.0887,7.2266,22,11
original,4,"software, default",software,1,2,10,24,221,3987.2533,3781.25,142299136,16.676,17.9827,36.5958,44.8682,49.5456,3.7785,4.7073,4.831,5.3782,11.5113,22,13
original,5,"default, software",default,0,2,10,24,213,4004.1906,4250,164429824,16.7369,31.1546,33.9459,43.6684,46.4632,3.9445,4.7569,4.9713,5.2435,5.7159,31,14
original,5,"default, software",software,1,2,10,24,223,4003.8473,3812.5,142135296,16.6474,17.3132,33.4538,45.5656,46.7567,3.9266,4.8009,5.0258,5.3256,5.6336,18,12
original,6,"software, default",default,0,2,10,24,212,4003.2961,4203.125,164454400,16.757,30.6522,33.5624,45.7199,48.7098,4.0737,4.7756,5.0136,5.2895,5.6955,32,13
original,6,"software, default",software,1,2,10,24,227,4003.7803,3593.75,142925824,16.6608,17.0636,34.4087,45.4816,48.0553,3.8811,4.8223,5.1359,5.3879,5.6391,15,12
visible-clear,1,"default, software",default,0,2,10,24,217,4003.8133,3343.75,166014976,16.7314,26.4802,33.2321,45.823,45.9889,0.0979,0.1427,0.1688,0.202,0.6857,25,11
visible-clear,1,"default, software",software,1,2,10,24,225,4003.7336,3390.625,143011840,16.6417,17.2473,34.2488,47.6222,58.545,0.093,0.1379,0.1518,0.2203,0.7453,16,12
visible-clear,2,"software, default",default,0,2,10,24,216,4020.4672,3750,162246656,16.7155,31.0326,35.943,46.0663,47.7765,0.0988,0.1489,0.1684,0.2296,0.7008,26,15
visible-clear,2,"software, default",software,1,2,10,24,225,4004.1491,3046.875,144027648,16.657,17.2766,32.8124,47.9341,54.1154,0.0968,0.146,0.1664,0.2739,0.7097,15,11
visible-clear,3,"default, software",default,0,2,10,24,219,4020.4885,3515.625,165826560,16.6479,28.882,33.8452,43.561,46.3588,0.1033,0.1492,0.1633,0.2128,0.7406,27,12
visible-clear,3,"default, software",software,1,2,10,24,227,4003.0785,3281.25,146432000,16.6523,17.1745,35.528,44.9881,45.6363,0.0951,0.1405,0.1604,0.2227,0.7385,14,12
visible-clear,4,"software, default",default,0,2,10,24,214,4004.0145,3546.875,166383616,16.7012,30.7055,33.5035,42.5109,44.4245,0.0999,0.161,0.1795,0.226,0.7081,28,14
visible-clear,4,"software, default",software,1,2,10,24,218,4003.5678,2906.25,141201408,16.7033,29.5741,41.3836,49.449,56.3575,0.0993,0.1503,0.1731,0.2082,0.699,24,12
visible-clear,5,"default, software",default,0,2,10,24,218,4003.6899,3500,165142528,16.7218,28.5879,34.8158,43.0716,45.4283,0.0972,0.1462,0.1688,0.2315,0.7089,24,13
visible-clear,5,"default, software",software,1,2,10,24,218,4003.84,3093.75,143908864,16.6759,18.2392,40.8745,53.7944,58.1749,0.1083,0.1522,0.174,0.2124,1.4101,20,12
visible-clear,6,"software, default",default,0,2,10,24,217,4003.7712,3656.25,165109760,16.7265,28.2586,33.9944,42.7489,43.4989,0.1021,0.1491,0.1666,0.3466,0.6895,26,13
visible-clear,6,"software, default",software,1,2,10,24,223,4004.1865,3296.875,141508608,16.6612,17.3925,34.7159,46.7438,47.286,0.1044,0.1367,0.1606,0.2164,0.6919,19,12
