baseline_commit,name,configuration,build_exit,run_exit
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgeDiagnosticJournalChecks,Debug,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgeLatencyObservationChecks,Debug,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgePreviewChecks,Debug,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgePreviewChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgeTitleChecks,Debug,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.EdgeTitleChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.LifecycleChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.MarkdownEditingChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.MarkdownSemanticChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.PersistenceChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.ThreadingChecks,Release,0,0
26142c1d1d055c35e2b1c8843cee6030203a31cc,PaperTodo.TodoNavigationChecks,Release,0,-532462766
