source,scenario,passed,pending,sleeping,calls,guard_after_mutation,runtime
baseline,complete-request-B,false,1,1,"A,B",false,10.0.12
baseline,complete-cancel-missing-B,false,1,1,A,false,10.0.12
baseline,complete-cancel-existing-B,false,1,1,A,false,10.0.12
baseline,complete-wake-sleeping-B,false,1,1,"B,A,B",false,10.0.12
baseline,readiness-request-B,false,1,1,B,,10.0.12
baseline,graphics-request-B,false,1,1,B,,10.0.12
baseline,replace-A,true,0,0,"A,A",false,10.0.12
baseline,cancel-A,true,0,0,A,false,10.0.12
baseline,cancel-all,true,0,0,A,false,10.0.12
baseline,disable-reenable,true,0,0,"A,A",false,10.0.12
baseline,interaction-nested-quiet,true,0,0,"A,A",false,10.0.12
baseline,dispose,true,0,0,A,false,10.0.12
baseline,deferred-wake,true,0,0,"A,A",,10.0.12
baseline,fifo-latest-request,true,0,0,"B,A",,10.0.12
candidate,complete-request-B,true,0,0,"A,B",true,10.0.12
candidate,complete-cancel-missing-B,true,0,0,A,true,10.0.12
candidate,complete-cancel-existing-B,true,0,0,A,true,10.0.12
candidate,complete-wake-sleeping-B,true,0,0,"B,A,B",true,10.0.12
candidate,readiness-request-B,true,0,0,"A,B",,10.0.12
candidate,graphics-request-B,true,0,0,"A,B",,10.0.12
candidate,replace-A,true,0,0,"A,A",false,10.0.12
candidate,cancel-A,true,0,0,A,false,10.0.12
candidate,cancel-all,true,0,0,A,false,10.0.12
candidate,disable-reenable,true,0,0,"A,A",false,10.0.12
candidate,interaction-nested-quiet,true,0,0,"A,A",false,10.0.12
candidate,dispose,true,0,0,A,false,10.0.12
candidate,deferred-wake,true,0,0,"A,A",,10.0.12
candidate,fifo-latest-request,true,0,0,"B,A",,10.0.12
